position;model_type;model_name;n_train;n_test;mae;rmse;pct_error_le_1;pct_error_le_2;pct_integer_exact;pct_integer_error_le_1;pct_integer_error_le_2;selected_for_prediction
RWF;anchored_formula;AnchorRidge;432;108;0,8864546306410808;1,11634871689698;67,5925925925926;94,44444444444444;29,629629629629626;83,33333333333334;98,14814814814815;False
RWF;anchored_formula;AnchorLasso;432;108;0,8853341668791415;1,1165351509339092;68,51851851851852;95,37037037037037;30,555555555555557;84,25925925925925;98,14814814814815;False
RWF;anchored_formula;AnchorElasticNet;432;108;0,8808903752773433;1,1074210970180283;66,66666666666666;94,44444444444444;32,407407407407405;84,25925925925925;98,14814814814815;True
RWF;anchored_formula;AnchorExtraTrees;432;108;2,3607693287037;2,578846799706333;12,037037037037036;37,96296296296296;2,7777777777777777;23,14814814814815;59,25925925925925;False
RWF;anchored_formula;AnchorRandomForest;432;108;2,3431920990103845;2,5640480416094564;12,037037037037036;37,96296296296296;1,8518518518518516;24,074074074074073;56,481481481481474;False
RWF;anchored_formula;AnchorHistGradient;432;108;2,3069928741663537;2,491187990455443;9,25925925925926;39,81481481481482;2,7777777777777777;20,37037037037037;55,55555555555556;False
RWF;anchored_formula;AnchorGradientBoosting;432;108;3,6653571225307067;3,7929349079309174;0,9259259259259258;5,555555555555555;0,9259259259259258;0,9259259259259258;13,88888888888889;False
SS;anchored_formula;AnchorCurve;255;64;1,0013671874999996;1,4063094605484685;60,9375;85,9375;39,0625;81,25;92,1875;False
SS;anchored_formula;AnchorLinearRegression;255;64;0,7557765066157617;0,9751936392993917;71,875;92,1875;42,1875;85,9375;100,0;False
SS;anchored_formula;AnchorRidge;255;64;0,7612436083876719;0,9794682945616413;70,3125;92,1875;43,75;85,9375;100,0;True
SS;anchored_formula;AnchorLasso;255;64;0,7565515174434508;0,9684329070129667;71,875;93,75;40,625;85,9375;100,0;False
SS;anchored_formula;AnchorElasticNet;255;64;0,7610799699066677;0,9750894796770556;68,75;93,75;40,625;85,9375;100,0;False
SS;anchored_formula;AnchorExtraTrees;255;64;1,7658722656249997;1,9385411390572507;12,5;68,75;4,6875;37,5;85,9375;False
SS;anchored_formula;AnchorRandomForest;255;64;1,4806076388888894;1,681835762768122;25,0;79,6875;7,8125;51,5625;90,625;False
SS;anchored_formula;AnchorHistGradient;255;64;1,5301824625699005;1,7168578367201104;29,6875;71,875;9,375;48,4375;89,0625;False
SS;anchored_formula;AnchorGradientBoosting;255;64;1,908805328291689;2,081117169074007;10,9375;60,9375;3,125;31,25;79,6875;False
CF;anchored_formula;AnchorCurve;1362;341;1,435208944281525;1,8680853990385913;46,9208211143695;73,90029325513197;22,58064516129032;61,58357771260997;82,69794721407625;False
CF;anchored_formula;AnchorLinearRegression;1362;341;0,6382387953111053;0,8203786811898601;77,41935483870968;98,24046920821115;51,02639296187683;92,37536656891496;100,0;True
CF;anchored_formula;AnchorRidge;1362;341;0,6380349269157202;0,8229904607509889;78,2991202346041;98,82697947214076;52,49266862170088;90,6158357771261;100,0;False
CF;anchored_formula;AnchorLasso;1362;341;0,6414575434978853;0,8277878546513646;77,41935483870968;98,82697947214076;51,02639296187683;90,02932551319648;99,70674486803519;False
CF;anchored_formula;AnchorElasticNet;1362;341;0,6373473944372707;0,8208870197700854;78,59237536656892;98,24046920821115;50,43988269794721;91,20234604105572;100,0;False
CF;anchored_formula;AnchorExtraTrees;1362;341;3,0801846407624636;3,1586906655883116;0,5865102639296188;7,038123167155426;0,0;2,346041055718475;17,302052785923756;False
CF;anchored_formula;AnchorRandomForest;1362;341;2,798274356467905;2,8927632139461186;1,466275659824047;11,436950146627565;0,2932551319648094;4,9853372434017595;29,91202346041056;False
CF;anchored_formula;AnchorHistGradient;1362;341;2,993643444332965;3,068331257420773;0,5865102639296188;6,451612903225806;0,0;2,346041055718475;20,234604105571847;False
CF;anchored_formula;AnchorGradientBoosting;1362;341;3,0642081523894844;3,13651088198048;0,2932551319648094;6,158357771260997;0,0;2,346041055718475;16,129032258064516;False
