2026-06-24 14:35:10,614 | INFO | __main__ | Modelo PES-like RB guardado (AnchorLinearRegression, MAE train 0.712)
2026-06-24 14:35:25,613 | INFO | __main__ | Modelo PES-like DMF guardado (AnchorLinearRegression, MAE train 0.940)
2026-06-24 14:35:44,041 | INFO | __main__ | Modelo PES-like CMF guardado (AnchorLinearRegression, MAE train 0.811)
2026-06-24 14:35:49,228 | INFO | __main__ | Modelo PES-like LMF guardado (AnchorLasso, MAE train 0.597)
2026-06-24 14:35:55,731 | INFO | __main__ | Modelo PES-like RMF guardado (AnchorElasticNet, MAE train 0.726)
2026-06-24 14:36:08,020 | INFO | __main__ | Modelo PES-like AMF guardado (AnchorElasticNet, MAE train 0.688)
2026-06-24 14:36:15,335 | INFO | __main__ | Modelo PES-like LWF guardado (AnchorLasso, MAE train 0.796)
2026-06-24 14:36:23,185 | INFO | __main__ | Modelo PES-like RWF guardado (AnchorElasticNet, MAE train 0.738)
2026-06-24 14:36:28,686 | INFO | __main__ | Modelo PES-like SS guardado (AnchorRidge, MAE train 0.565)
2026-06-24 14:36:48,898 | INFO | __main__ | Modelo PES-like CF guardado (AnchorLinearRegression, MAE train 0.637)
2026-06-24 14:36:48,970 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-24 14:41:08,765 | WARNING | __main__ | El dataset parece tener stats corridas de una version vieja del parser (stamina demasiado baja). Se usara la cache local de PES Master solo en memoria.
2026-06-24 14:42:41,886 | WARNING | parser | Se descartaron 19 filas porque no son de PES 2018.
2026-06-24 14:42:42,013 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-24 14:42:59,985 | INFO | __main__ | Modelo PES-like GK guardado (AnchorRandomForest, MAE train 0.809)
2026-06-24 14:43:34,265 | INFO | __main__ | Modelo PES-like CB guardado (AnchorElasticNet, MAE train 0.611)
2026-06-24 14:43:53,977 | INFO | __main__ | Modelo PES-like LB guardado (AnchorLinearRegression, MAE train 0.757)
2026-06-24 14:44:16,397 | INFO | __main__ | Modelo PES-like RB guardado (AnchorLinearRegression, MAE train 0.712)
2026-06-24 14:44:38,901 | INFO | __main__ | Modelo PES-like DMF guardado (AnchorLinearRegression, MAE train 0.940)
2026-06-24 14:45:07,397 | INFO | __main__ | Modelo PES-like CMF guardado (AnchorLinearRegression, MAE train 0.811)
2026-06-24 14:45:16,651 | INFO | __main__ | Modelo PES-like LMF guardado (AnchorLasso, MAE train 0.597)
2026-06-24 14:45:27,162 | INFO | __main__ | Modelo PES-like RMF guardado (AnchorElasticNet, MAE train 0.726)
2026-06-24 14:45:48,455 | INFO | __main__ | Modelo PES-like AMF guardado (AnchorElasticNet, MAE train 0.688)
2026-06-24 14:46:01,215 | INFO | __main__ | Modelo PES-like LWF guardado (AnchorLasso, MAE train 0.796)
2026-06-24 14:46:14,699 | INFO | __main__ | Modelo PES-like RWF guardado (AnchorElasticNet, MAE train 0.738)
2026-06-24 14:46:23,605 | INFO | __main__ | Modelo PES-like SS guardado (AnchorRidge, MAE train 0.565)
2026-06-24 14:46:53,503 | INFO | __main__ | Modelo PES-like CF guardado (AnchorLinearRegression, MAE train 0.637)
2026-06-24 14:46:53,584 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-24 14:52:07,233 | WARNING | __main__ | El dataset parece tener stats corridas de una version vieja del parser (stamina demasiado baja). Se usara la cache local de PES Master solo en memoria.
2026-06-24 14:53:43,256 | WARNING | parser | Se descartaron 19 filas porque no son de PES 2018.
2026-06-24 14:53:43,405 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-24 14:54:00,426 | INFO | __main__ | Modelo PES-like GK guardado (AnchorLinearRegression, MAE train 12.457)
2026-06-24 14:56:49,688 | INFO | __main__ | Modelo PES-like CB guardado (AnchorElasticNet, MAE train 2.485)
2026-06-24 14:59:53,081 | WARNING | __main__ | El dataset parece tener stats corridas de una version vieja del parser (stamina demasiado baja). Se usara la cache local de PES Master solo en memoria.
2026-06-24 15:01:27,496 | WARNING | parser | Se descartaron 19 filas porque no son de PES 2018.
2026-06-24 15:01:27,626 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-24 15:01:47,614 | INFO | __main__ | Modelo PES-like GK guardado (DirectGradientBoosting, MAE train 0.267)
2026-06-24 15:03:57,402 | INFO | __main__ | Modelo PES-like CB guardado (DirectHistGradient, MAE train 0.727)
2026-06-24 15:05:44,596 | INFO | __main__ | Modelo PES-like LB guardado (DirectHistGradient, MAE train 1.008)
2026-06-24 15:07:26,795 | INFO | __main__ | Modelo PES-like RB guardado (DirectHistGradient, MAE train 0.994)
2026-06-24 15:09:04,226 | INFO | __main__ | Modelo PES-like DMF guardado (DirectHistGradient, MAE train 0.958)
2026-06-24 15:10:34,907 | INFO | __main__ | Modelo PES-like CMF guardado (DirectExtraTrees, MAE train 0.024)
2026-06-24 15:12:13,645 | INFO | __main__ | Modelo PES-like LMF guardado (DirectHistGradient, MAE train 0.936)
2026-06-24 15:13:49,949 | INFO | __main__ | Modelo PES-like RMF guardado (DirectHistGradient, MAE train 0.878)
2026-06-24 15:15:29,051 | INFO | __main__ | Modelo PES-like AMF guardado (DirectExtraTrees, MAE train 0.018)
2026-06-24 15:17:12,905 | INFO | __main__ | Modelo PES-like LWF guardado (DirectHistGradient, MAE train 0.830)
